mitre_id,technique,tactics,groups
T1071.002,File Transfer Protocols,Command And Control,APT41|Dragonfly|MirrorFace|SilverTerrier|Kimsuky
T1679,Selective Exclusion,Stealth,VOID MANTICORE
T1212,Exploitation for Credential Access,Credential Access,UNC3886
T1546.014,Emond,Privilege Escalation|Persistence,no
T1102.003,One-Way Communication,Command And Control,Leviathan|Gamaredon Group
T1590,Gather Victim Network Information,Reconnaissance,Volt Typhoon|Indrik Spider|HAFNIUM
T1210,Exploitation of Remote Services,Lateral Movement,Wizard Spider|Fox Kitten|Earth Lusca|Ember Bear|APT28|Tonto Team|menuPass|Dragonfly|MuddyWater|Threat Group-3390|FIN7
T1534,Internal Spearphishing,Lateral Movement,Gamaredon Group|MuddyWater|Kimsuky|APT-C-36|Leviathan|HEXANE
T1574.010,Services File Permissions Weakness,Stealth|Execution,no
T1547.001,Registry Run Keys / Startup Folder,Persistence|Privilege Escalation,APT19|APT37|APT39|TA2541|RTM|Magic Hound|Storm-1811|Inception|APT28|TeamTNT|Leviathan|Naikon|Silence|Gorgon Group|APT29|ZIRCONIUM|Patchwork|FIN6|Turla|Putter Panda|MuddyWater|Sidewinder|Threat Group-3390|Tropic Trooper|Lazarus Group|APT41|Windshift|FIN7|Dark Caracal|FIN10|PROMETHIUM|LuminousMoth|FIN13|Moonstone Sleet|Rocke|Molerats|VOID MANTICORE|Cobalt Group|Mustang Panda|Higaisa|Kimsuky|Dragonfly|LazyScripter|APT3|Darkhotel|APT33|BRONZE BUTLER|BlackByte|RedCurl|Ke3chang|Confucius|APT18|Contagious Interview|Gamaredon Group|Wizard Spider|APT32
T1199,Trusted Relationship,Initial Access,GOLD SOUTHFIELD|APT28|Threat Group-3390|Sandworm Team|menuPass|RedCurl|APT29|POLONIUM|HAFNIUM|LAPSUS$|VOID MANTICORE|Sea Turtle
T1136.003,Cloud Account,Persistence,APT29|LAPSUS$
T1069.001,Local Groups,Discovery,Turla|Tonto Team|HEXANE|admin@338|Chimera|Volt Typhoon|OilRig
T1593,Search Open Websites/Domains,Reconnaissance,Mustang Panda|Volt Typhoon|Contagious Interview|APT-C-36|Sandworm Team|Star Blizzard
T1098,Account Manipulation,Persistence|Privilege Escalation,Lazarus Group|Scattered Spider|VOID MANTICORE|HAFNIUM
T1048,Exfiltration Over Alternative Protocol,Exfiltration,Play|TeamTNT
T1547.006,Kernel Modules and Extensions,Persistence|Privilege Escalation,no
T1678,Delay Execution,Stealth,Kimsuky|Mustang Panda
T1056.002,GUI Input Capture,Collection|Credential Access,RedCurl|FIN4
T1686.002,Network Device Firewall,Defense Impairment,APT38
T1588.002,Tool,Resource Development,DarkVishnya|Turla|Inception|Magic Hound|BITTER|Kimsuky|BlackTech|MuddyWater|LAPSUS$|Leafminer|APT29|Medusa Group|APT28|Wizard Spider|Storm-1811|BRONZE BUTLER|menuPass|APT41|Scattered Spider|FIN8|TA505|APT39|GALLIUM|Cleaver|BackdoorDiplomacy|Cinnamon Tempest|OilRig|TA2541|FIN6|Sandworm Team|Patchwork|FIN7|LuminousMoth|Sea Turtle|MirrorFace|APT-C-36|WIRTE|Contagious Interview|FIN13|Mustang Panda|Cobalt Group|Ke3chang|Threat Group-3390|Lazarus Group|FIN5|Thrip|Moses Staff|POLONIUM|PittyTiger|HEXANE|Whitefly|Lotus Blossom|FIN10|INC Ransom|Dragonfly|IndigoZebra|Aquatic Panda|Aoqin Dragon|APT38|Earth Lusca|APT33|VOID MANTICORE|Ferocious Kitten|APT32|Star Blizzard|Gorgon Group|Silence|Gamaredon Group|Chimera|Metador|CopyKittens|Silent Librarian|Play|Salt Typhoon|Volt Typhoon|APT19|APT42|Blue Mockingbird|APT1|Carbanak|DarkHydrus
T1052.001,Exfiltration over USB,Exfiltration,Tropic Trooper|Mustang Panda
T1574.013,KernelCallbackTable,Stealth|Execution,Lazarus Group
T1597,Search Closed Sources,Reconnaissance,EXOTIC LILY
T1053.006,Systemd Timers,Execution|Persistence|Privilege Escalation,no
T1566,Phishing,Initial Access,Kimsuky|VOID MANTICORE|INC Ransom|MuddyWater|Sea Turtle|Axiom|AppleJeus|GOLD SOUTHFIELD
T1542.004,ROMMONkit,Stealth|Persistence,no
T1218.001,Compiled HTML File,Stealth,OilRig|Dark Caracal|Silence|APT41|APT38
T1496.001,Compute Hijacking,Impact,Rocke|Blue Mockingbird|TeamTNT|APT41
T1070.005,Network Share Connection Removal,Stealth,Threat Group-3390
T1090.003,Multi-hop Proxy,Command And Control,Ember Bear|APT28|Inception|Leviathan|FIN4|APT29|Medusa Group|Lotus Blossom|ZIRCONIUM|Volt Typhoon|Gamaredon Group
T1110,Brute Force,Credential Access,Fox Kitten|HEXANE|Ember Bear|Turla|DarkVishnya|FIN5|APT41|APT38|OilRig|Agrius|APT39|Dragonfly|VOID MANTICORE|Storm-0501|APT28
T1059.004,Unix Shell,Execution,Aquatic Panda|TeamTNT|Contagious Interview|Rocke|Velvet Ant|Scattered Spider|Volt Typhoon|APT41|UNC3886|Sea Turtle
T1137.003,Outlook Forms,Persistence,no
T1219.003,Remote Access Hardware,Command And Control,no
T1565,Data Manipulation,Impact,FIN13
T1559,Inter-Process Communication,Execution,no
T1001,Data Obfuscation,Command And Control,Gamaredon Group
T1039,Data from Network Shared Drive,Collection,RedCurl|APT28|Gamaredon Group|BRONZE BUTLER|Sowbug|Chimera|menuPass|Fox Kitten
T1584.006,Web Services,Resource Development,Turla|Earth Lusca|CURIUM|Winter Vivern
T1601,Modify System Image,Defense Impairment,no
T1574,Hijack Execution Flow,Stealth|Execution,no
T1036.012,Browser Fingerprint,Stealth,no
T1059.011,Lua,Execution,no
T1027.005,Indicator Removal from Tools,Stealth,UNC3886|Patchwork|Deep Panda|GALLIUM|OilRig|Turla|APT3
T1204.003,Malicious Image,Execution,TeamTNT
T1543.005,Container Service,Persistence|Privilege Escalation,no
T1078,Valid Accounts,Stealth|Persistence|Privilege Escalation|Initial Access,APT41|FIN8|FIN4|FIN7|Scattered Spider|Dragonfly|GALLIUM|APT18|Volt Typhoon|Lazarus Group|Chimera|menuPass|Sandworm Team|Cinnamon Tempest|Akira|LAPSUS$|Carbanak|APT28|Threat Group-3390|Medusa Group|Suckfly|Play|Axiom|Indrik Spider|Leviathan|PittyTiger|Silence|OilRig|Wizard Spider|APT29|UNC3886|BlackByte|Ke3chang|FIN10|APT33|INC Ransom|FIN6|Fox Kitten|POLONIUM|FIN5|Silent Librarian|Sea Turtle|Star Blizzard|APT39|VOID MANTICORE
T1571,Non-Standard Port,Command And Control,WIRTE|Silence|Contagious Interview|RedEcho|MuddyWater|Ember Bear|APT32|Velvet Ant|Sandworm Team|Lazarus Group|FIN7|Magic Hound|Gamaredon Group|DarkVishnya|APT-C-36|APT33|Rocke
T1585.001,Social Media Accounts,Resource Development,Sandworm Team|Scattered Spider|Medusa Group|EXOTIC LILY|HEXANE|Water Galura|Kimsuky|Leviathan|CURIUM|Cleaver|Lazarus Group|APT32|Contagious Interview|Fox Kitten|Magic Hound|Star Blizzard|VOID MANTICORE|Moonstone Sleet
T1055.012,Process Hollowing,Stealth|Privilege Escalation,Gorgon Group|Threat Group-3390|Patchwork|BlackByte|TA2541|menuPass|Kimsuky|APT-C-36
T1068,Exploitation for Privilege Escalation,Privilege Escalation,Threat Group-3390|HAFNIUM|UNC3886|APT29|Turla|PLATINUM|FIN8|Cobalt Group|MoustachedBouncer|Volt Typhoon|FIN6|Whitefly|BITTER|LAPSUS$|BlackByte|Scattered Spider|APT28|ZIRCONIUM|Tonto Team|APT32|APT33|OilRig
T1564.009,Resource Forking,Stealth,no
T1531,Account Access Removal,Impact,Akira|LAPSUS$
T1110.004,Credential Stuffing,Credential Access,Chimera|VOID MANTICORE
T1027,Obfuscated Files or Information,Stealth,BackdoorDiplomacy|RedCurl|Rocke|GALLIUM|Gallmaker|BlackOasis|APT3|APT-C-36|Windshift|Ke3chang|APT37|Kimsuky|Moonstone Sleet|Mustang Panda|Sandworm Team|Earth Lusca|Gamaredon Group|APT41
T1556.006,Multi-Factor Authentication,Defense Impairment|Persistence|Credential Access,Scattered Spider
T1114.002,Remote Email Collection,Collection,Ke3chang|APT28|VOID MANTICORE|Star Blizzard|APT1|APT29|HAFNIUM|Magic Hound|Chimera|Dragonfly|FIN4|Leafminer|Kimsuky
T1505.004,IIS Components,Persistence,no
T1036.001,Invalid Code Signature,Stealth,APT37|Windshift
T1683,Generate Content,Resource Development,no
T1564.006,Run Virtual Instance,Stealth,no
T1027.014,Polymorphic Code,Stealth,no
T1201,Password Policy Discovery,Discovery,OilRig|Chimera|Turla
T1546,Event Triggered Execution,Privilege Escalation|Persistence,no
T1546.004,Unix Shell Configuration Modification,Privilege Escalation|Persistence,Contagious Interview
T1187,Forced Authentication,Credential Access,DarkHydrus|Dragonfly
T1134.005,SID-History Injection,Stealth|Privilege Escalation,no
T1599,Network Boundary Bridging,Defense Impairment,APT41
T1486,Data Encrypted for Impact,Impact,APT38|INC Ransom|VOID MANTICORE|Magic Hound|Scattered Spider|FIN7|Storm-0501|Medusa Group|Sandworm Team|Akira|Storm-1811|Indrik Spider|APT41|Water Galura|TA505|BlackByte|FIN8|Moonstone Sleet
T1690,Prevent Command History Logging,Defense Impairment,Sea Turtle|UNC3886|APT38|Medusa Group
T1553,Subvert Trust Controls,Defense Impairment,Axiom
T1548.004,Elevated Execution with Prompt,Privilege Escalation,no
T1592.003,Firmware,Reconnaissance,no
T1573,Encrypted Channel,Command And Control,Tropic Trooper|Magic Hound|BITTER|APT29
T1547.002,Authentication Package,Persistence|Privilege Escalation,no
T1218.010,Regsvr32,Stealth,TA551|Deep Panda|Cobalt Group|Storm-0501|Blue Mockingbird|Leviathan|Kimsuky|Inception|WIRTE|APT32|APT19
T1567.003,Exfiltration to Text Storage Sites,Exfiltration,no
T1592.002,Software,Reconnaissance,Magic Hound|Sandworm Team|Andariel
T1056,Input Capture,Collection|Credential Access,APT42|Storm-1811|APT39
T1566.004,Spearphishing Voice,Initial Access,Storm-1811
T1587.004,Exploits,Resource Development,Volt Typhoon|UNC3886|Leviathan
T1685,Disable or Modify Tools,Defense Impairment,Scattered Spider|Kimsuky|Gorgon Group|FIN6|MirrorFace|Agrius|APT5|TA2541|BlackByte|Indrik Spider|Contagious Interview|APT38|Saint Bear|Putter Panda|Wizard Spider|APT41|BRONZE BUTLER|Turla|Lazarus Group|MuddyWater|Gamaredon Group|INC Ransom|UNC3886|Aquatic Panda|Velvet Ant|TeamTNT|Akira|Medusa Group|TA505|Rocke|Magic Hound|Play
T1593.001,Social Media,Reconnaissance,Kimsuky|Contagious Interview|EXOTIC LILY
T1213.004,Customer Relationship Management Software,Collection,no
T1546.015,Component Object Model Hijacking,Privilege Escalation|Persistence,APT28
T1589.001,Credentials,Reconnaissance,APT28|Magic Hound|Leviathan|LAPSUS$|Chimera
T1195.002,Compromise Software Supply Chain,Initial Access,APT41|Cobalt Group|GOLD SOUTHFIELD|Sandworm Team|Dragonfly|Threat Group-3390|Daggerfly|Moonstone Sleet|FIN7
T1036.003,Rename Legitimate Utilities,Stealth,menuPass|Lazarus Group|Daggerfly|APT32|APT38|GALLIUM
T1102.002,Bidirectional Communication,Command And Control,Kimsuky|POLONIUM|APT37|Lazarus Group|APT12|APT39|Magic Hound|Turla|HEXANE|Carbanak|FIN7|Sandworm Team|APT28|MuddyWater|ZIRCONIUM|Gamaredon Group
T1203,Exploitation for Client Execution,Execution,Sidewinder|Saint Bear|APT28|Threat Group-3390|Sandworm Team|Dragonfly|Andariel|The White Company|EXOTIC LILY|Lazarus Group|APT29|BlackTech|Confucius|Patchwork|APT12|Axiom|Higaisa|Cobalt Group|Leviathan|APT37|TA459|Mustang Panda|UNC3886|APT3|BRONZE BUTLER|Sea Turtle|Transparent Tribe|Tropic Trooper|Tonto Team|Aoqin Dragon|Inception|APT41|Ember Bear|BITTER|Elderwood|Darkhotel|APT32|OilRig|admin@338|APT33|MuddyWater
T1595.003,Wordlist Scanning,Reconnaissance,APT41|Volatile Cedar
T1667,Email Bombing,Impact,Storm-1811
T1137.004,Outlook Home Page,Persistence,OilRig
T1573.002,Asymmetric Cryptography,Command And Control,TA2541|Velvet Ant|Tropic Trooper|RedCurl|Medusa Group|RedEcho|OilRig|Cobalt Group|APT42|FIN6|FIN8
T1567.002,Exfiltration to Cloud Storage,Exfiltration,Leviathan|Akira|LuminousMoth|Kimsuky|Threat Group-3390|Mustang Panda|Confucius|POLONIUM|HEXANE|Medusa Group|Cinnamon Tempest|Storm-0501|Wizard Spider|Indrik Spider|Turla|HAFNIUM|MuddyWater|Contagious Interview|Earth Lusca|Ember Bear|ToddyCat|ZIRCONIUM|Chimera|Scattered Spider|FIN7
T1570,Lateral Tool Transfer,Lateral Movement,Medusa Group|APT32|Aoqin Dragon|FIN10|Ember Bear|Volt Typhoon|Velvet Ant|Wizard Spider|Turla|BlackByte|Chimera|GALLIUM|Storm-1811|Magic Hound|INC Ransom|UNC3886|Sandworm Team|Agrius|APT41
T1574.009,Path Interception by Unquoted Path,Stealth|Execution,no
T1608.003,Install Digital Certificate,Resource Development,Sea Turtle
T1037.005,Startup Items,Persistence|Privilege Escalation,no
T1614.001,System Language Discovery,Discovery,Ke3chang|MirrorFace|BlackByte|Storm-0501|Malteiro
T1095,Non-Application Layer Protocol,Command And Control,Gamaredon Group|Ember Bear|ToddyCat|Mustang Panda|Metador|PLATINUM|UNC3886|FIN6|BackdoorDiplomacy|APT3|BITTER|HAFNIUM
T1059.013,Container CLI/API,Execution,TeamTNT
T1027.003,Steganography,Stealth,Earth Lusca|APT37|TA551|Leviathan|MuddyWater|APT-C-36|Andariel|Tropic Trooper|BRONZE BUTLER
T1584.002,DNS Server,Resource Development,Sea Turtle|LAPSUS$
T1671,Cloud Application Integration,Persistence,no
T1001.003,Protocol or Service Impersonation,Command And Control,Lazarus Group|Mustang Panda|Higaisa
T1012,Query Registry,Discovery,ZIRCONIUM|Threat Group-3390|Lazarus Group|APT32|Dragonfly|Turla|Kimsuky|Stealth Falcon|Gamaredon Group|BlackByte|Fox Kitten|APT39|Chimera|APT41|Daggerfly|Volt Typhoon|OilRig|Indrik Spider|Lotus Blossom
T1030,Data Transfer Size Limits,Exfiltration,Play|LuminousMoth|Threat Group-3390|APT28|APT41
T1550.004,Web Session Cookie,Lateral Movement,Star Blizzard
T1078.002,Domain Accounts,Stealth|Persistence|Privilege Escalation|Initial Access,Naikon|Agrius|Wizard Spider|Sandworm Team|VOID MANTICORE|OilRig|Cinnamon Tempest|ToddyCat|Indrik Spider|APT3|Chimera|Play|TA505|Threat Group-1314|APT5|Magic Hound|Volt Typhoon|BlackByte|Aquatic Panda
T1218.009,Regsvcs/Regasm,Stealth,no
T1546.018,Python Startup Hooks,Persistence|Privilege Escalation,no
T1553.004,Install Root Certificate,Defense Impairment,no
T1037.003,Network Logon Script,Persistence|Privilege Escalation,no
T1499,Endpoint Denial of Service,Impact,Sandworm Team
T1027.004,Compile After Delivery,Stealth,Gamaredon Group|Rocke|MuddyWater|Sea Turtle
T1688,Safe Mode Boot,Defense Impairment,no
T1614,System Location Discovery,Discovery,SideCopy|Volt Typhoon
T1564.007,VBA Stomping,Stealth,no
T1197,BITS Jobs,Stealth|Persistence|Execution,Patchwork|Leviathan|APT39|APT41|Wizard Spider
T1127.001,MSBuild,Stealth|Execution,no
T1578.005,Modify Cloud Compute Configurations,Defense Impairment,no
T1090.004,Domain Fronting,Command And Control,APT29
T1557.002,ARP Cache Poisoning,Credential Access|Collection,Cleaver|LuminousMoth
T1518.001,Security Software Discovery,Discovery,Darkhotel|Sidewinder|SideCopy|Windshift|APT38|FIN8|APT42|TA2541|The White Company|Naikon|Cobalt Group|Gamaredon Group|Wizard Spider|Patchwork|MuddyWater|Storm-0501|Aquatic Panda|Kimsuky|TeamTNT|Malteiro|Turla|ToddyCat|Play|Tropic Trooper|Medusa Group|BlackByte|Rocke
T1564.003,Hidden Window,Stealth,APT3|VOID MANTICORE|APT28|APT19|FIN7|Medusa Group|Deep Panda|Gorgon Group|CopyKittens|Higaisa|Gamaredon Group|DarkHydrus|ToddyCat|Nomadic Octopus|Kimsuky|APT-C-36|APT32|Magic Hound
T1127.002,ClickOnce,Stealth|Execution,no
T1059.006,Python,Execution,APT37|BRONZE BUTLER|Tonto Team|ZIRCONIUM|Rocke|Machete|UNC3886|Earth Lusca|MuddyWater|Contagious Interview|Cinnamon Tempest|Turla|APT29|APT39|RedCurl|VOID MANTICORE|Dragonfly|Kimsuky
T1070.010,Relocate Malware,Stealth,no
T1591.004,Identify Roles,Reconnaissance,Volt Typhoon|LAPSUS$|FIN7|HEXANE
T1132,Data Encoding,Command And Control,Velvet Ant
T1546.010,AppInit DLLs,Privilege Escalation|Persistence,APT39
T1598,Phishing for Information,Reconnaissance,Scattered Spider|ZIRCONIUM|Kimsuky|APT28|Moonstone Sleet
T1496,Resource Hijacking,Impact,no
T1684.001,Impersonation,Stealth,Star Blizzard|Kimsuky|APT-C-36|VOID MANTICORE|MirrorFace|Scattered Spider|Saint Bear|APT42|Storm-1811|MuddyWater|Contagious Interview|WIRTE|LAPSUS$|APT41|APT28
T1585,Establish Accounts,Resource Development,Contagious Interview|Fox Kitten|Kimsuky|Ember Bear|APT17
T1588,Obtain Capabilities,Resource Development,no
T1546.002,Screensaver,Privilege Escalation|Persistence,no
T1556.009,Conditional Access Policies,Defense Impairment|Persistence|Credential Access,Scattered Spider|Storm-0501
T1578.002,Create Cloud Instance,Defense Impairment,LAPSUS$|Scattered Spider
T1555.006,Cloud Secrets Management Stores,Credential Access,HAFNIUM|Storm-0501
T1213.003,Code Repositories,Collection,LAPSUS$|Scattered Spider|APT41
T1565.002,Transmitted Data Manipulation,Impact,APT38
T1003.008,/etc/passwd and /etc/shadow,Credential Access,no
T1543.001,Launch Agent,Persistence|Privilege Escalation,Contagious Interview
T1569,System Services,Execution,no
T1059.003,Windows Command Shell,Execution,Lazarus Group|Suckfly|GALLIUM|Magic Hound|ZIRCONIUM|Dark Caracal|Wizard Spider|Volt Typhoon|OilRig|Threat Group-3390|Threat Group-1314|Saint Bear|Play|Nomadic Octopus|TeamTNT|INC Ransom|Machete|WIRTE|APT38|MuddyWater|HAFNIUM|APT3|Storm-1811|APT32|RedCurl|BlackByte|FIN10|Gorgon Group|FIN6|Contagious Interview|Fox Kitten|Blue Mockingbird|APT28|Kimsuky|Metador|Mustang Panda|Tropic Trooper|APT41|Indrik Spider|Aquatic Panda|FIN13|MirrorFace|Turla|Agrius|Chimera|Sowbug|Cobalt Group|TA577|ToddyCat|UNC3886|Dragonfly|LazyScripter|APT5|Medusa Group|Darkhotel|Patchwork|APT37|FIN7|Ke3chang|Winter Vivern|BRONZE BUTLER|Higaisa|menuPass|FIN8|APT18|TA551|Rancor|APT1|Silence|Gamaredon Group|Cinnamon Tempest|admin@338|TA505
T1055.009,Proc Memory,Stealth|Privilege Escalation,no
T1650,Acquire Access,Resource Development,Medusa Group
T1601.001,Patch System Image,Defense Impairment,no
T1558.002,Silver Ticket,Credential Access,no
T1213,Data from Information Repositories,Collection,APT28
T1070.009,Clear Persistence,Stealth,no
T1059.012,Hypervisor CLI,Execution,UNC3886
T1555.004,Windows Credential Manager,Credential Access,OilRig|Stealth Falcon|Turla|Wizard Spider
T1036.010,Masquerade Account Name,Stealth,Storm-1811|Magic Hound|Dragonfly|APT3
T1200,Hardware Additions,Initial Access,DarkVishnya
T1219.002,Remote Desktop Software,Command And Control,Storm-0501|Contagious Interview|Evilnum|Storm-1811|Mustang Panda|Kimsuky|Thrip|RTM|VOID MANTICORE|Scattered Spider|MuddyWater
T1505,Server Software Component,Persistence,no
T1485,Data Destruction,Impact,LAPSUS$|Lazarus Group|Storm-0501|APT38|Sandworm Team|VOID MANTICORE
T1132.002,Non-Standard Encoding,Command And Control,Kimsuky
T1556.001,Domain Controller Authentication,Defense Impairment|Persistence|Credential Access,Chimera
T1537,Transfer Data to Cloud Account,Exfiltration,Storm-0501|INC Ransom|RedCurl
T1027.006,HTML Smuggling,Stealth,APT29
T1556.005,Reversible Encryption,Defense Impairment|Persistence|Credential Access,no
T1027.010,Command Obfuscation,Stealth,Aquatic Panda|Sandworm Team|HEXANE|Leafminer|Cobalt Group|Kimsuky|Medusa Group|Fox Kitten|FIN6|APT32|Play|Magic Hound|Wizard Spider|MuddyWater|Patchwork|Chimera|Silence|FIN8|FIN7|TA551|Sidewinder|TA505|Turla|GOLD SOUTHFIELD|LazyScripter|Contagious Interview|Gamaredon Group|WIRTE|APT19
T1070.004,File Deletion,Stealth,Aquatic Panda|FIN10|menuPass|BRONZE BUTLER|Tropic Trooper|TeamTNT|APT38|FIN5|Play|BlackByte|Ember Bear|MirrorFace|Kimsuky|OilRig|FIN6|APT41|APT39|APT29|Wizard Spider|APT28|APT18|Evilnum|Contagious Interview|Dragonfly|Mustang Panda|Sandworm Team|Magic Hound|APT32|Cobalt Group|FIN8|APT5|UNC3886|Lazarus Group|APT3|The White Company|Chimera|Patchwork|Group5|Medusa Group|Metador|Gamaredon Group|Volt Typhoon|INC Ransom|Silence|RedCurl|Rocke|Threat Group-3390
T1189,Drive-by Compromise,Initial Access,Transparent Tribe|RTM|PLATINUM|Windshift|Earth Lusca|APT38|Axiom|APT19|Darkhotel|Andariel|APT28|Dragonfly|Dark Caracal|Turla|Patchwork|Leviathan|APT32|BRONZE BUTLER|Lazarus Group|Threat Group-3390|Winter Vivern|Elderwood|Mustard Tempest|APT37|Leafminer|Machete|CURIUM|Daggerfly|PROMETHIUM|Windigo|Magic Hound
T1498,Network Denial of Service,Impact,APT28
T1651,Cloud Administration Command,Execution,APT29|VOID MANTICORE
T1546.016,Installer Packages,Privilege Escalation|Persistence,no
T1595.001,Scanning IP Blocks,Reconnaissance,Ember Bear|TeamTNT
T1221,Template Injection,Stealth,Dragonfly|Confucius|Tropic Trooper|APT28|Gamaredon Group|Inception|MirrorFace|DarkHydrus
T1037.004,RC Scripts,Persistence|Privilege Escalation,Velvet Ant|UNC3886|APT29
T1134,Access Token Manipulation,Stealth|Privilege Escalation,Lotus Blossom|FIN6|Blue Mockingbird
T1111,Multi-Factor Authentication Interception,Credential Access,Kimsuky|Chimera|APT42|LAPSUS$
T1027.002,Software Packing,Stealth,The White Company|TA2541|APT41|Dark Caracal|Aoqin Dragon|MoustachedBouncer|APT39|TA505|Volt Typhoon|GALLIUM|TeamTNT|APT38|Rocke|Patchwork|Kimsuky|ZIRCONIUM|Medusa Group|Storm-0501|Threat Group-3390|Saint Bear|APT3|Elderwood|APT29
T1584.007,Serverless,Resource Development,no
T1071.001,Web Protocols,Command And Control,Rancor|Metador|RedEcho|BITTER|Moonstone Sleet|OilRig|Orangeworm|APT37|Winter Vivern|Dark Caracal|Daggerfly|Magic Hound|Tropic Trooper|Chimera|LuminousMoth|APT19|APT41|Mustang Panda|Medusa Group|APT38|BRONZE BUTLER|Sidewinder|Kimsuky|Lazarus Group|BlackByte|Higaisa|RedCurl|MuddyWater|Stealth Falcon|APT32|Inception|WIRTE|Turla|FIN13|SilverTerrier|APT28|Wizard Spider|FIN8|Confucius|Windshift|Cobalt Group|APT33|TA551|APT42|Gamaredon Group|Ke3chang|FIN4|APT18|APT39|Threat Group-3390|HAFNIUM|VOID MANTICORE|TeamTNT|Rocke|Sea Turtle|Sandworm Team|TA505
T1059.005,Visual Basic,Execution,Patchwork|Higaisa|FIN4|WIRTE|Windshift|Turla|Earth Lusca|Rancor|Mustang Panda|Transparent Tribe|Silence|Gamaredon Group|FIN7|APT38|Machete|MuddyWater|APT42|BRONZE BUTLER|Confucius|TA505|Magic Hound|RedCurl|LazyScripter|Malteiro|Lazarus Group|Cobalt Group|OilRig|SideCopy|Leviathan|TA459|MirrorFace|FIN13|Sidewinder|APT32|Molerats|TA2541|Inception|Contagious Interview|APT-C-36|HEXANE|APT33|APT37|Sandworm Team|Kimsuky|Gorgon Group|APT39
T1564.005,Hidden File System,Stealth,Equation|Strider
T1543.002,Systemd Service,Persistence|Privilege Escalation,TeamTNT|Scattered Spider|Rocke
T1668,Exclusive Control,Persistence,no
T1563.002,RDP Hijacking,Lateral Movement,Axiom
T1136,Create Account,Persistence,Indrik Spider|Scattered Spider|Salt Typhoon
T1547.013,XDG Autostart Entries,Persistence|Privilege Escalation,Contagious Interview
T1584.004,Server,Resource Development,Lazarus Group|Volt Typhoon|Dragonfly|Turla|Leviathan|APT16|Sandworm Team|Daggerfly|Indrik Spider|Earth Lusca
T1526,Cloud Service Discovery,Discovery,Storm-0501
T1204.004,Malicious Copy and Paste,Execution,MuddyWater|Kimsuky|Contagious Interview
T1018,Remote System Discovery,Discovery,Ember Bear|menuPass|Fox Kitten|Agrius|Naikon|Deep Panda|Earth Lusca|APT41|FIN5|Volt Typhoon|Sandworm Team|Play|Mustang Panda|Akira|Ke3chang|HEXANE|MirrorFace|Threat Group-3390|Medusa Group|ToddyCat|Lotus Blossom|BRONZE BUTLER|APT39|APT32|Silence|FIN6|Indrik Spider|Turla|Rocke|Leafminer|Magic Hound|Scattered Spider|Chimera|HAFNIUM|Wizard Spider|APT3|GALLIUM|BlackByte|FIN8|Dragonfly
T1046,Network Service Discovery,Discovery,Volt Typhoon|APT39|BlackTech|BlackByte|menuPass|Threat Group-3390|Mustang Panda|Agrius|FIN13|DarkVishnya|OilRig|Lazarus Group|Leafminer|Tropic Trooper|Naikon|Magic Hound|Rocke|APT32|INC Ransom|Chimera|APT41|Suckfly|FIN6|TeamTNT|BackdoorDiplomacy|Lotus Blossom|Fox Kitten|Medusa Group|Cobalt Group|RedCurl|Ember Bear
T1590.001,Domain Properties,Reconnaissance,Sandworm Team
T1518,Software Discovery,Discovery,Volt Typhoon|Windigo|Inception|BRONZE BUTLER|Windshift|MuddyWater|SideCopy|Sidewinder|Mustang Panda|HEXANE|Tropic Trooper
T1538,Cloud Service Dashboard,Discovery,Scattered Spider
T1055.005,Thread Local Storage,Stealth|Privilege Escalation,no
T1622,Debugger Evasion,Stealth|Discovery,Mustang Panda
T1036.006,Space after Filename,Stealth,APT38
T1547.007,Re-opened Applications,Persistence|Privilege Escalation,no
T1608.006,SEO Poisoning,Resource Development,Mustard Tempest
T1550.002,Pass the Hash,Lateral Movement,APT32|APT28|Aquatic Panda|Chimera|APT1|Wizard Spider|APT41|Kimsuky|FIN13|Ember Bear|GALLIUM
T1052,Exfiltration Over Physical Medium,Exfiltration,no
T1105,Ingress Tool Transfer,Command And Control,Fox Kitten|BITTER|HAFNIUM|Cobalt Group|Cinnamon Tempest|BlackByte|Tropic Trooper|Scattered Spider|Lazarus Group|PLATINUM|Ke3chang|Whitefly|APT37|SideCopy|TA2541|Kimsuky|Turla|Gamaredon Group|Leviathan|menuPass|Molerats|APT29|Rocke|Sidewinder|Magic Hound|Aquatic Panda|APT38|LuminousMoth|Gorgon Group|APT39|APT28|Threat Group-3390|Rancor|FIN13|Medusa Group|MuddyWater|APT18|TeamTNT|VOID MANTICORE|OilRig|Storm-1811|Daggerfly|Play|LazyScripter|APT32|Silence|Confucius|APT33|Wizard Spider|Volatile Cedar|Evilnum|Moonstone Sleet|FIN7|Winter Vivern|TA505|APT41|Nomadic Octopus|BackdoorDiplomacy|HEXANE|Winnti Group|APT-C-36|FIN8|Windshift|TA551|Mustang Panda|Dragonfly|Moses Staff|Darkhotel|Volt Typhoon|WIRTE|BRONZE BUTLER|Indrik Spider|Patchwork|ZIRCONIUM|INC Ransom|GALLIUM|Metador|Sandworm Team|Mustard Tempest|Andariel|Ajax Security Team|Elderwood|APT3|Chimera|Tonto Team|IndigoZebra
T1216.002,SyncAppvPublishingServer,Stealth,no
T1098.002,Additional Email Delegate Permissions,Persistence|Privilege Escalation,Magic Hound|APT28|APT29
